Rank,Batter,Batting Rating,Tier,Runs,Average,Strike Rate,Dot Ball %,Boundary %,Strike Rotation %,PP SR,Middle SR,Death SR
1,Shubman Gill,79.93,Very Good,890,59.33,157.8,26.6,60.45,52.48,150.85,157.72,187.5
2,SA Yadav,73.58,Very Good,605,43.21,181.14,27.54,70.74,44.61,124.32,182.93,213.73
3,H Klaasen,71.73,Very Good,448,49.78,177.08,19.37,62.05,58.1,200.0,168.24,187.36
4,F du Plessis,71.34,Very Good,730,56.15,153.68,28.0,62.47,51.79,168.54,135.09,185.29
5,YBK Jaiswal,66.1,Good,625,48.08,163.61,39.79,78.08,31.68,175.24,137.34,261.11
6,C Green,62.53,Good,452,50.22,160.28,28.01,64.6,50.0,173.96,140.43,193.33
7,GJ Maxwell,62.49,Good,400,33.33,183.49,33.03,75.5,39.45,180.43,176.6,219.35
8,V Kohli,61.11,Good,639,53.25,139.82,28.45,55.71,53.83,136.82,134.01,185.0
9,DP Conway,60.64,Good,672,51.69,139.71,34.1,61.9,46.15,133.48,144.76,148.78
10,RK Singh,60.51,Good,474,59.25,149.53,31.86,62.87,49.21,163.64,112.82,186.67
11,AM Rahane,58.07,Average,326,32.6,172.49,20.11,58.9,58.73,208.33,140.34,340.0
12,RD Gaikwad,56.63,Average,590,42.14,147.5,33.5,61.69,47.5,146.81,150.33,125.0
13,N Pooran,55.92,Average,358,29.83,172.95,32.85,72.63,42.03,233.33,169.23,175.0
14,Tilak Varma,55.77,Average,343,42.88,164.11,34.45,70.55,42.11,294.12,127.48,206.56
15,S Dube,54.19,Average,418,38.0,158.33,29.17,61.72,53.03,0.0,152.38,173.33
16,B Sai Sudharsan,51.65,Average,362,51.71,141.41,29.69,56.35,52.73,117.65,131.97,214.63
17,LS Livingstone,50.73,Average,279,34.88,163.16,32.75,69.53,44.44,100.0,145.1,251.22
18,V Shankar,50.56,Average,301,37.62,160.11,30.85,65.78,46.81,154.55,118.52,259.57
19,SV Samson,47.53,Below Average,362,30.17,153.39,34.75,67.4,44.49,140.74,152.2,191.3
20,PD Salt,47.19,Below Average,218,27.25,163.91,33.08,71.56,41.35,152.11,173.91,187.5
21,MP Stoinis,47.07,Below Average,408,31.38,150.0,36.03,67.16,43.75,158.06,130.6,206.9
22,S Dhawan,46.41,Below Average,373,41.44,142.91,41.38,71.85,35.25,137.07,132.67,181.82
23,VR Iyer,45.97,Below Average,404,28.86,145.85,32.49,62.87,48.38,130.28,160.27,127.27
24,SO Hetmyer,45.38,Below Average,299,37.38,151.78,34.01,62.21,48.22,140.0,120.73,175.45
25,JJ Roy,44.92,Below Average,285,35.62,151.6,40.43,75.79,34.04,146.28,161.19,0.0
26,N Rana,43.94,Below Average,413,31.77,140.96,37.88,66.83,41.98,132.39,139.38,172.41
27,Ishan Kishan,43.74,Below Average,454,30.27,142.77,40.88,71.37,36.48,144.78,139.53,50.0
28,DA Warner,43.56,Below Average,516,36.86,131.63,40.05,65.12,39.8,145.85,117.83,106.67
29,DA Miller,42.34,Below Average,259,32.38,145.51,28.65,57.92,53.93,71.43,147.3,149.48
30,P Simran Singh,42.32,Below Average,358,25.57,150.42,43.7,74.3,32.35,142.21,154.41,212.5
31,JM Sharma,42.26,Below Average,309,23.77,156.06,37.88,69.26,40.4,66.67,153.28,183.61
32,TH David,40.95,Below Average,231,25.67,158.22,26.71,59.74,54.79,0.0,104.76,179.81
33,HH Pandya,40.43,Below Average,346,31.45,136.76,31.23,56.07,52.57,103.45,134.81,173.33
34,JC Buttler,40.17,Below Average,392,28.0,139.01,38.3,64.29,41.84,131.21,138.6,181.48
35,KR Mayers,39.43,Below Average,379,29.15,144.11,48.67,74.93,28.14,137.56,167.24,0.0
36,RR Rossouw,38.91,Below Average,209,29.86,148.23,36.17,64.11,43.97,123.33,140.0,219.05
37,N Wadhera,37.75,Below Average,241,26.78,145.18,37.35,68.05,41.57,111.11,135.85,183.33
38,Q de Kock,37.59,Below Average,143,35.75,140.2,33.33,61.54,49.02,145.83,128.0,225.0
39,AR Patel,36.22,Below Average,283,28.3,139.41,34.48,61.48,47.78,40.0,113.89,175.56
40,Abhishek Sharma,35.32,Below Average,226,20.55,143.95,35.03,65.49,43.31,134.48,137.93,241.67
41,SM Curran,33.9,Below Average,276,27.6,135.96,33.99,57.25,49.75,155.56,97.48,194.67
42,RA Jadeja,33.53,Below Average,190,23.75,142.86,25.56,51.58,59.4,0.0,118.18,147.75
43,Atharva Taide,33.16,Below Average,186,26.57,144.19,35.66,62.37,44.19,156.92,131.25,0.0
44,Abdul Samad,32.76,Below Average,169,42.25,132.03,40.62,62.72,42.97,0.0,100.0,151.9
45,MA Agarwal,32.62,Below Average,270,27.0,128.57,33.33,56.3,50.0,126.96,128.09,166.67
46,RG Sharma,32.13,Below Average,332,20.75,132.8,45.2,72.89,34.0,130.73,142.42,80.0
47,AD Russell,31.54,Below Average,227,20.64,145.51,42.95,70.48,37.18,0.0,125.68,163.41
48,D Padikkal,31.46,Below Average,261,26.1,130.5,36.5,61.3,45.0,140.26,109.38,177.78
49,A Badoni,31.32,Below Average,238,23.8,138.37,32.56,52.1,52.91,53.33,120.83,168.24
50,WP Saha,30.75,Below Average,371,23.19,129.27,40.77,63.61,40.07,133.49,116.67,0.0
51,RA Tripathi,29.4,Below Average,273,22.75,128.17,40.85,64.47,40.85,122.08,132.48,126.32
52,AK Markram,29.22,Below Average,248,22.55,125.89,28.93,48.39,57.87,60.0,133.8,160.0
53,AT Rayudu,28.04,Below Average,158,15.8,139.82,31.86,59.49,51.33,0.0,125.42,155.56
54,Rahmanullah Gurbaz,26.26,Below Average,227,20.64,133.53,47.65,69.6,33.53,129.46,143.86,0.0
55,KL Rahul,26.07,Below Average,274,34.25,113.22,38.02,49.64,48.76,119.13,111.46,96.77
56,HC Brook,22.96,Below Average,190,21.11,123.38,42.21,61.05,40.26,114.29,128.89,144.0
57,KD Karthik,22.12,Below Average,140,11.67,134.62,33.65,58.57,49.04,0.0,110.0,144.59
58,KH Pandya,14.6,Below Average,188,17.09,113.94,43.64,51.06,43.64,90.62,115.83,153.85
59,MK Pandey,14.52,Below Average,160,17.78,109.59,37.67,48.75,50.0,105.71,113.27,92.31
60,Aman Hakim Khan,7.7,Below Average,110,13.75,108.91,48.51,58.18,38.61,80.0,89.66,142.11
