Rank,Bowler,Bowling Rating,Tier,Matches,Wickets,Balls,Overs,Runs Conceded,Economy,Average,Strike Rate,Dot Ball %,Boundary %,PP Economy,Middle Economy,Death Economy
1,Mohammed Shami,83.13,Excellent,17,28.0,391,65.17,521,7.99,18.61,13.96,47.06,19.69,7.5,7.5,9.63
2,Mohammed Siraj,80.02,Excellent,14,19.0,300,50.0,375,7.5,19.74,15.79,50.33,18.0,5.93,9.14,10.23
3,MM Sharma,78.82,Very Good,14,27.0,265,44.17,361,8.17,13.37,9.81,32.45,16.6,9.33,7.5,8.77
4,Rashid Khan,75.77,Very Good,17,27.0,402,67.0,552,8.24,20.44,14.89,32.09,16.42,9.5,7.71,8.77
5,RA Jadeja,75.46,Very Good,16,20.0,342,57.0,431,7.56,21.55,17.1,30.99,11.99,0.0,7.24,16.5
6,M Pathirana,75.0,Very Good,12,19.0,278,46.33,371,8.01,19.53,14.63,34.17,12.95,0.0,7.94,8.05
7,PP Chawla,72.75,Very Good,16,22.0,366,61.0,495,8.11,22.5,16.64,32.79,16.67,8.3,8.21,6.0
8,CV Varun,71.94,Very Good,14,20.0,316,52.67,429,8.15,21.45,15.8,36.39,17.41,8.31,7.92,8.37
9,YS Chahal,71.84,Very Good,14,21.0,317,52.83,432,8.18,20.57,15.1,29.97,14.51,6.0,8.36,8.0
10,Naveen-ul-Haq,71.57,Very Good,7,11.0,169,28.17,218,7.74,19.82,15.36,37.87,14.2,7.45,5.0,8.81
11,Noor Ahmad,71.52,Very Good,13,16.0,283,47.17,369,7.82,23.06,17.69,35.34,14.49,8.4,7.94,6.84
12,R Ashwin,70.58,Very Good,13,14.0,294,49.0,368,7.51,26.29,21.0,29.93,11.56,8.54,7.48,5.0
13,Ravi Bishnoi,70.53,Very Good,14,16.0,303,50.5,391,7.74,24.44,18.94,31.02,12.54,8.0,7.51,8.93
14,MM Ali,70.44,Very Good,11,9.0,156,26.0,195,7.5,21.67,17.33,34.62,12.82,5.0,7.91,3.0
15,AR Patel,68.24,Good,13,11.0,282,47.0,338,7.19,30.73,25.64,36.17,12.77,7.82,6.74,16.0
16,M Markande,66.55,Good,10,12.0,228,38.0,300,7.89,25.0,19.0,33.33,16.23,0.0,7.5,10.0
17,TA Boult,65.29,Good,10,13.0,228,38.0,312,8.21,24.0,17.54,45.18,20.61,6.81,10.0,13.0
18,I Sharma,65.18,Good,8,10.0,150,25.0,206,8.24,20.6,15.0,43.33,21.33,7.88,5.75,12.25
19,Kuldeep Yadav,65.08,Good,14,10.0,294,49.0,361,7.37,36.1,29.4,27.89,10.88,0.0,7.49,6.75
20,B Kumar,64.99,Good,14,16.0,306,51.0,425,8.33,26.56,19.12,39.54,19.93,7.57,10.0,9.11
21,Akash Madhwal,64.98,Good,8,14.0,153,25.5,219,8.59,15.64,10.93,32.68,15.69,7.2,10.0,8.09
22,MR Marsh,64.79,Good,8,12.0,121,20.17,170,8.43,14.17,10.08,28.1,13.22,7.0,8.33,9.79
23,KH Pandya,64.68,Good,12,9.0,252,42.0,313,7.45,34.78,28.0,36.51,16.27,7.89,7.29,5.0
24,Harpreet Brar,62.75,Good,11,9.0,163,27.17,218,8.02,24.22,18.11,34.97,17.18,9.25,6.2,12.24
25,DL Chahar,62.31,Good,10,13.0,204,34.0,297,8.74,22.85,15.69,39.22,20.1,8.41,5.67,13.25
26,SP Narine,60.21,Good,14,11.0,288,48.0,383,7.98,34.82,26.18,29.17,13.89,9.86,7.42,8.62
27,M Theekshana,59.1,Average,13,11.0,294,49.0,392,8.0,35.64,26.73,27.55,14.63,8.64,7.64,8.0
28,Suyash Sharma,59.0,Average,11,10.0,234,39.0,321,8.23,32.1,23.4,34.19,17.09,7.33,7.7,11.33
29,Yash Thakur,58.2,Average,9,13.0,191,31.83,289,9.08,22.23,14.69,32.98,18.32,9.17,8.17,9.83
30,NT Ellis,56.5,Average,10,13.0,228,38.0,339,8.92,26.08,17.54,28.51,17.54,7.3,8.44,10.92
31,A Zampa,56.3,Average,6,8.0,132,22.0,188,8.55,23.5,16.5,29.55,17.42,6.5,9.33,9.25
32,TU Deshpande,56.2,Average,16,21.0,342,57.0,563,9.88,26.81,16.29,37.43,23.98,7.88,9.0,12.74
33,PWH de Silva,54.61,Average,8,9.0,174,29.0,258,8.9,28.67,19.33,31.03,18.39,8.6,9.59,2.0
34,RD Chahar,54.6,Average,14,8.0,298,49.67,385,7.75,48.12,37.25,31.21,15.1,9.0,7.44,9.88
35,JP Behrendorff,53.63,Average,12,14.0,252,42.0,387,9.21,27.64,18.0,34.92,21.43,7.67,11.83,12.11
36,Arshdeep Singh,52.89,Average,14,17.0,305,50.83,493,9.7,29.0,17.94,36.07,25.57,10.32,8.92,9.45
37,Sandeep Sharma,52.55,Average,12,10.0,276,46.0,396,8.61,39.6,27.6,34.06,19.2,7.72,9.83,9.6
38,A Nortje,52.2,Average,10,10.0,240,40.0,364,9.1,36.4,24.0,37.5,20.42,8.79,8.0,9.74
39,KK Ahmed,51.44,Average,9,9.0,198,33.0,301,9.12,33.44,22.0,40.91,22.22,7.22,10.0,11.91
40,J Little,50.72,Average,10,7.0,204,34.0,294,8.65,42.0,29.14,35.78,18.63,7.91,8.43,9.89
41,HV Patel,50.64,Average,13,14.0,283,47.17,453,9.6,32.36,20.21,27.21,19.79,0.0,8.48,11.0
42,AS Joseph,49.52,Below Average,7,7.0,144,24.0,225,9.38,32.14,20.57,38.89,20.14,8.5,9.13,10.14
43,WD Parnell,49.08,Below Average,7,9.0,151,25.17,236,9.38,26.22,16.78,36.42,23.18,8.29,11.75,11.52
44,M Jansen,47.82,Below Average,8,10.0,163,27.17,266,9.79,26.6,16.3,41.1,22.7,8.74,11.58,17.0
45,T Natarajan,46.97,Below Average,12,10.0,270,45.0,410,9.11,41.0,27.0,26.67,19.26,8.67,8.36,9.73
46,K Kartikeya,45.95,Below Average,8,5.0,156,26.0,227,8.73,45.4,31.2,25.64,15.38,0.0,8.09,12.25
47,K Rabada,44.42,Below Average,6,7.0,139,23.17,231,9.97,33.0,19.86,41.73,24.46,9.33,8.8,12.16
48,KV Sharma,44.2,Below Average,7,10.0,129,21.5,223,10.37,22.3,12.9,28.68,22.48,0.0,10.31,11.0
49,Avesh Khan,43.46,Below Average,9,8.0,174,29.0,283,9.76,35.38,21.75,33.33,24.71,10.75,7.8,9.58
50,Vijaykumar Vyshak,38.52,Below Average,7,9.0,144,24.0,253,10.54,28.11,16.0,27.78,22.92,9.5,10.08,12.5
51,C Green,36.72,Below Average,16,6.0,228,38.0,361,9.5,60.17,38.0,34.65,21.93,8.93,8.07,13.25
52,SN Thakur,35.25,Below Average,9,7.0,126,21.0,220,10.48,31.43,18.0,25.4,24.6,12.5,8.95,11.23
53,HH Pandya,35.24,Below Average,11,3.0,150,25.0,228,9.12,76.0,50.0,39.33,24.67,9.76,7.75,0.0
54,SM Curran,33.84,Below Average,14,10.0,287,47.83,489,10.22,48.9,28.7,27.87,24.39,8.68,12.75,10.16
55,Mukesh Kumar,32.17,Below Average,10,7.0,186,31.0,326,10.52,46.57,26.57,33.87,25.81,8.58,11.83,11.69
56,Umran Malik,26.13,Below Average,8,5.0,120,20.0,217,10.85,43.4,24.0,34.17,30.0,28.0,8.93,13.75
57,JO Holder,24.36,Below Average,8,4.0,171,28.5,284,9.96,71.0,42.75,23.39,23.39,9.0,9.45,10.8
58,JC Archer,24.14,Below Average,5,2.0,120,20.0,190,9.5,95.0,60.0,35.83,20.0,8.22,7.83,13.8
59,CJ Jordan,17.23,Below Average,6,3.0,132,22.0,237,10.77,79.0,44.0,31.06,26.52,9.0,11.0,11.7
